OSP_ID;LAT;LON;COG;SOG_u;STW_u;TH;SP_ID;SOG_v;STW_v;OS_ID
266988;56,1068;3,06514;-5,83506;0,022245;0,022246;0,034353;322415;-0,002287;-0,002287;0
266989;56,1068;3,06514;-5,83373;0,022237;0,022239;0,037877;322416;-0,002287;-0,002287;0
266990;56,1068;3,06514;-5,83243;0,022229;0,022231;0,0414;322417;-0,002287;-0,002287;0
266991;56,1068;3,06514;-5,83116;0,022221;0,022223;0,044923;322418;-0,002287;-0,002287;0
266992;56,1068;3,06514;-5,83009;0,022214;0,022215;0,048445;322419;-0,002287;-0,002287;0
266993;56,1068;3,06514;-5,83093;0,022219;0,022216;0,051969;322420;-0,002289;-0,002289;0
266994;56,1068;3,06514;-5,83257;0,022255;0,022244;0,055498;322421;-0,002295;-0,002294;0
266995;56,1068;3,06514;-5,83067;0,022342;0,022318;0,059038;322422;-0,002305;-0,002302;0
266996;56,1068;3,06514;-5,82792;0,022498;0,022458;0,062598;322423;-0,002321;-0,002317;0
266997;56,1068;3,06514;-5,82489;0,022742;0,022682;0,066188;322424;-0,002347;-0,00234;0
266998;56,1068;3,06514;-5,8214;0,023093;0,023009;0,069826;322425;-0,002383;-0,002374;0
266999;56,1068;3,06514;-5,81742;0,023571;0,023459;0,073529;322426;-0,002432;-0,002421;0
267000;56,1068;3,06514;-5,81282;0,024256;0,024088;0,077322;322427;-0,002502;-0,002485;0
267001;56,1068;3,06514;-5,8074;0,025245;0,025011;0,081247;322428;-0,002604;-0,00258;0
267002;56,1068;3,06514;-5,80126;0,026579;0,026268;0,085354;322429;-0,00274;-0,002709;0
267003;56,1068;3,06514;-5,79518;0,028251;0,027885;0,089701;322430;-0,002912;-0,002874;0
267004;56,1068;3,06514;-5,78911;0,030063;0,029673;0,094324;322431;-0,003098;-0,003058;0
267005;56,1068;3,06514;-5,78254;0,031993;0,031578;0,099242;322432;-0,003296;-0,003253;0
267006;56,1068;3,06514;-5,77576;0,034044;0,033602;0,104475;322433;-0,003506;-0,003461;0
267007;56,1068;3,06514;-5,76874;0,036221;0,035754;0,110041;322434;-0,00373;-0,003682;0
267008;56,1068;3,06514;-5,76121;0,038529;0,038032;0,11596;322435;-0,003966;-0,003915;0
267009;56,1068;3,06514;-5,75341;0,040968;0,040445;0,122253;322436;-0,004216;-0,004162;0
267010;56,1068;3,06514;-5,74518;0,043546;0,042992;0,12894;322437;-0,00448;-0,004423;0
267011;56,1068;3,06514;-5,73654;0,04626;0,045678;0,136044;322438;-0,004758;-0,004698;0
267012;56,1069;3,06514;-5,72756;0,049122;0,048509;0,143586;322439;-0,005051;-0,004988;0
267013;56,1069;3,06514;-5,71804;0,052128;0,051484;0,15159;322440;-0,005359;-0,005293;0
267014;56,1069;3,06514;-5,70803;0,055287;0,054612;0,160077;322441;-0,005682;-0,005613;0
267015;56,1069;3,06514;-5,69752;0,0586;0,057893;0,169072;322442;-0,006021;-0,005949;0
267016;56,1069;3,06514;-5,68646;0,062072;0,061329;0,178598;322443;-0,006376;-0,0063;0
267017;56,1069;3,06514;-5,67483;0,065704;0,064928;0,188681;322444;-0,006748;-0,006668;0
267018;56,1069;3,06514;-5,66268;0,069513;0,068698;0,199346;322445;-0,007137;-0,007054;0
267019;56,1069;3,06514;-5,6499;0,073477;0,072632;0,210619;322446;-0,007542;-0,007456;0
267020;56,1069;3,06514;-5,63654;0,077592;0,07672;0,222524;322447;-0,007962;-0,007873;0
267021;56,1069;3,06514;-5,62256;0,081784;0,080898;0,235077;322448;-0,00839;-0,0083;0
267022;56,1069;3,06514;-5,60798;0,086048;0,085147;0,248289;322449;-0,008826;-0,008734;0
267023;56,1069;3,06514;-5,59264;0,090381;0,089465;0,26217;322450;-0,009268;-0,009174;0
267024;56,1069;3,06514;-5,57681;0,094785;0,093855;0,27673;322451;-0,009717;-0,009622;0
267025;56,1069;3,06514;-5,56021;0,099259;0,098313;0,291979;322452;-0,010174;-0,010077;0
267026;56,1069;3,06514;-5,54297;0,103807;0,102847;0,307928;322453;-0,010637;-0,01054;0
267027;56,1069;3,06514;-5,52493;0,108426;0,10745;0,324585;322454;-0,011108;-0,011009;0
267028;56,1069;3,06514;-5,50635;0,113118;0,112127;0,341962;322455;-0,011586;-0,011485;0
267029;56,1069;3,06514;-5,48696;0,117882;0,116876;0,360069;322456;-0,012072;-0,011969;0
267030;56,1069;3,06514;-5,46689;0,122724;0,121702;0,378915;322457;-0,012565;-0,012461;0
267031;56,1069;3,06514;-5,446;0,127636;0,126597;0,398512;322458;-0,013065;-0,012959;0
267032;56,1069;3,06514;-5,42443;0,132625;0,131571;0,418868;322459;-0,013573;-0,013466;0
267033;56,1069;3,06514;-5,40216;0,137691;0,136621;0,439995;322460;-0,014088;-0,01398;0
267034;56,1069;3,06514;-5,37906;0,142833;0,141746;0,461904;322461;-0,014612;-0,014501;0
267035;56,1069;3,06514;-5,35521;0,148052;0,146949;0,484603;322462;-0,015143;-0,01503;0
267036;56,1069;3,06514;-5,33059;0,153347;0,15223;0,508104;322463;-0,015681;-0,015567;0
267037;56,1069;3,06514;-5,30515;0,158724;0,15759;0,532417;322464;-0,016228;-0,016112;0
267038;56,1069;3,06514;-5,27892;0,164176;0,163025;0,557553;322465;-0,016782;-0,016665;0
267039;56,1069;3,06514;-5,25185;0,169724;0,168554;0,583522;322466;-0,017346;-0,017227;0
267040;56,1069;3,06514;-5,22401;0,175332;0,174146;0,610335;322467;-0,017916;-0,017795;0
267041;56,1069;3,06514;-5,1953;0,181032;0,179827;0,638002;322468;-0,018495;-0,018372;0
267042;56,1069;3,06514;-5,1657;0,186822;0,185598;0,666535;322469;-0,019083;-0,018959;0
267043;56,1069;3,06513;-5,13531;0,192704;0,19146;0,695945;322470;-0,01968;-0,019554;0
267044;56,1069;3,06513;-5,10404;0,198675;0,197413;0,726245;322471;-0,020287;-0,020159;0
267045;56,1069;3,06513;-5,07188;0,204735;0,203456;0,757445;322472;-0,020902;-0,020772;0
267046;56,1069;3,06513;-5,03883;0,21089;0,209589;0,789558;322473;-0,021527;-0,021395;0
267047;56,1069;3,06513;-5,00486;0,217137;0,215816;0,822595;322474;-0,022161;-0,022027;0
267048;56,1069;3,06513;-4,96999;0,223488;0,222147;0,856569;322475;-0,022806;-0,02267;0
267049;56,1069;3,06513;-4,93423;0,229919;0,228561;0,891492;322476;-0,023459;-0,023321;0
267050;56,1069;3,06513;-4,8975;0,23645;0,235071;0,927374;322477;-0,024122;-0,023981;0
267051;56,1069;3,06513;-4,8598;0,243079;0,241681;0,964228;322478;-0,024794;-0,024652;0
267052;56,1069;3,06513;-4,82114;0,2498;0,24838;1,00207;322479;-0,025476;-0,025332;0
267053;56,1069;3,06513;-4,78155;0,256622;0,255181;1,0409;322480;-0,026168;-0,026022;0
267054;56,1069;3,06513;-4,74096;0,263535;0,262075;1,08074;322481;-0,02687;-0,026722;0
267055;56,1069;3,06513;-4,69934;0,270548;0,269067;1,12159;322482;-0,027581;-0,027431;0
267056;56,1069;3,06513;-4,6568;0,277658;0,276156;1,16348;322483;-0,028303;-0,02815;0
267057;56,1069;3,06513;-4,61316;0,284862;0,28334;1,20641;322484;-0,029034;-0,028879;0
267058;56,1069;3,06513;-4,56852;0,292171;0,290626;1,25039;322485;-0,029775;-0,029618;0
267059;56,1069;3,06513;-4,52289;0,29958;0,298017;1,29543;322486;-0,030527;-0,030368;0
267060;56,1069;3,06513;-4,47615;0,307092;0,305507;1,34155;322487;-0,031289;-0,031128;0
267061;56,1069;3,06513;-4,42837;0,314705;0,313095;1,38876;322488;-0,032062;-0,031898;0
267062;56,1069;3,06513;-4,37956;0,322415;0,32079;1,43706;322489;-0,032844;-0,032679;0
267063;56,1069;3,06513;-4,32961;0,330236;0,328585;1,48648;322490;-0,033638;-0,03347;0
267064;56,1069;3,06513;-4,27858;0,338158;0,336488;1,53702;322491;-0,034442;-0,034272;0
267065;56,1069;3,06513;-4,22645;0,346183;0,344488;1,58869;322492;-0,035256;-0,035085;0
267066;56,1069;3,06513;-4,17321;0,354315;0,352596;1,6415;322493;-0,036082;-0,035908;0
267067;56,1069;3,06513;-4,11884;0,362551;0,36081;1,69547;322494;-0,036918;-0,036741;0
267068;56,1069;3,06513;-4,06334;0,370891;0,369129;1,75061;322495;-0,037765;-0,037586;0
267069;56,1069;3,06513;-4,0067;0,37934;0,377553;1,80692;322496;-0,038623;-0,038442;0
267070;56,107;3,06512;-3,94894;0,387872;0,386077;1,86442;322497;-0,03949;-0,039308;0
267071;56,107;3,06512;-3,89;0,39641;0,394623;1,92311;322498;-0,040357;-0,040176;0
267072;56,107;3,06512;-3,82998;0,404945;0,403149;1,98298;322499;-0,041225;-0,041043;0
267073;56,107;3,06512;-3,7688;0,413469;0,411682;2,04403;322500;-0,042092;-0,04191;0
267074;56,107;3,06512;-3,70651;0,422;0,420205;2,10625;322501;-0,04296;-0,042778;0
267075;56,107;3,06512;-3,64314;0,430511;0,428723;2,16963;322502;-0,043827;-0,043645;0
267076;56,107;3,06512;-3,57864;0,439027;0,437244;2,23416;322503;-0,044694;-0,044512;0
267077;56,107;3,06512;-3,51308;0,447536;0,445747;2,29985;322504;-0,045561;-0,045379;0
267078;56,107;3,06512;-3,44638;0,456037;0,454254;2,36667;322505;-0,046427;-0,046246;0
267079;56,107;3,06512;-3,37861;0,464538;0,462754;2,43463;322506;-0,047295;-0,047113;0
267080;56,107;3,06512;-3,30979;0,473031;0,471245;2,50372;322507;-0,048162;-0,047979;0
267081;56,107;3,06512;-3,23987;0,481515;0,479737;2,57394;322508;-0,049028;-0,048846;0
267082;56,107;3,06512;-3,16889;0,490001;0,48822;2,64526;322509;-0,049895;-0,049713;0
267083;56,107;3,06512;-3,09688;0,498474;0,496692;2,7177;322510;-0,050761;-0,050579;0
267084;56,107;3,06512;-3,02379;0,506939;0,505164;2,79123;322511;-0,051627;-0,051445;0
267085;56,107;3,06512;-2,94965;0,515406;0,513631;2,86585;322512;-0,052494;-0,052312;0
267086;56,107;3,06512;-2,87451;0,523866;0,522086;2,94156;322513;-0,053361;-0,053178;0
267087;56,107;3,06512;-2,7983;0,532315;0,53054;3,01835;322514;-0,054227;-0,054045;0
267088;56,107;3,06512;-2,72107;0,540761;0,538994;3,09621;322515;-0,055093;-0,054912;0
267089;56,107;3,06512;-2,64282;0,549208;0,547432;3,17514;322516;-0,05596;-0,055778;0
267090;56,107;3,06512;-2,56359;0,557642;0,555868;3,25512;322517;-0,056827;-0,056645;0
267091;56,107;3,06512;-2,48333;0,566067;0,564299;3,33614;322518;-0,057693;-0,057512;0
267092;56,107;3,06512;-2,40207;0,574493;0,57273;3,41821;322519;-0,05856;-0,058379;0
267093;56,1071;3,06512;-2,31982;0,582914;0,581146;3,50132;322520;-0,059428;-0,059246;0
267094;56,1071;3,06511;-2,23661;0,591327;0,589555;3,58545;322521;-0,060295;-0,060112;0
267095;56,1071;3,06511;-2,1524;0,599726;0,597961;3,6706;322522;-0,061161;-0,060979;0
267096;56,1071;3,06511;-2,06721;0,608121;0,606363;3,75676;322523;-0,062028;-0,061846;0
267097;56,1071;3,06511;-1,98106;0,616516;0,61476;3,84393;322524;-0,062895;-0,062714;0
267098;56,1071;3,06511;-1,89395;0,624906;0,623142;3,93209;322525;-0,063763;-0,06358;0
267099;56,1071;3,06511;-1,80593;0,633288;0,631523;4,02124;322526;-0,06463;-0,064448;0
267100;56,1071;3,06511;-1,71692;0,641658;0,639897;4,11137;322527;-0,065497;-0,065315;0
267101;56,1071;3,06511;-1,62698;0,650023;0,648268;4,20248;322528;-0,066365;-0,066183;0
267102;56,1071;3,06511;-1,53612;0,658384;0,656634;4,29455;322529;-0,067232;-0,06705;0
267103;56,1071;3,06511;-1,44432;0,666742;0,664995;4,38758;322530;-0,0681;-0,067919;0
267104;56,1071;3,06511;-1,35162;0,675094;0,673342;4,48156;322531;-0,068969;-0,068787;0
267105;56,1071;3,06511;-1,258;0,683439;0,681683;4,57649;322532;-0,069837;-0,069654;0
267106;56,1071;3,06511;-1,1635;0,691776;0,690018;4,67235;322533;-0,070705;-0,070522;0
267107;56,1071;3,06511;-1,06807;0,700099;0,698347;4,76915;322534;-0,071573;-0,07139;0
267108;56,1071;3,06511;-0,971767;0,708417;0,70667;4,86686;322535;-0,072441;-0,072259;0
267109;56,1071;3,06511;-0,874575;0,716731;0,714988;4,96548;322536;-0,073309;-0,073127;0
267110;56,1072;3,06511;-0,77651;0,725039;0,723299;5,06501;322537;-0,074178;-0,073996;0
267111;56,1072;3,06511;-0,677574;0,733341;0,731604;5,16544;322538;-0,075046;-0,074865;0
267112;56,1072;3,06511;-0,577774;0,741637;0,739903;5,26676;322539;-0,075915;-0,075733;0
267113;56,1072;3,06511;-0,477121;0,749926;0,748193;5,36896;322540;-0,076784;-0,076603;0
267114;56,1072;3,06511;-0,375616;0,758209;0,756473;5,47204;322541;-0,077653;-0,077471;0
267115;56,1072;3,06511;-0,273267;0,766487;0,764751;5,57599;322542;-0,078523;-0,07834;0
267116;56,1072;3,06511;-0,170084;0,774757;0,773021;5,68079;322543;-0,079392;-0,07921;0
267117;56,1072;3,06511;-0,066071;0,78302;0,781284;5,78645;322544;-0,080261;-0,080079;0
267118;56,1072;3,06511;0,038766;0,791275;0,789539;5,89296;322545;-0,081131;-0,080948;0
267119;56,1072;3,06511;0,144417;0,799522;0,797787;6,0003;322546;-0,082;-0,081818;0
267120;56,1072;3,06511;0,250878;0,807761;0,806027;6,10848;322547;-0,08287;-0,082687;0
267121;56,1072;3,06511;0,358144;0,815993;0,814259;6,21747;322548;-0,083739;-0,083556;0
267122;56,1072;3,06511;0,466206;0,824219;0,822486;6,32729;322549;-0,084609;-0,084426;0
267123;56,1072;3,06511;0,575058;0,832438;0,830706;6,43791;322550;-0,085479;-0,085295;0
267124;56,1073;3,06511;0,684692;0,84065;0,838921;6,54933;322551;-0,086348;-0,086165;0
267125;56,1073;3,06511;0,795104;0,848854;0,847127;6,66155;322552;-0,087218;-0,087035;0
267126;56,1073;3,06511;0,906289;0,857051;0,855327;6,77455;322553;-0,088088;-0,087905;0
267127;56,1073;3,06511;1,01824;0,865242;0,863522;6,88833;322554;-0,088958;-0,088775;0
267128;56,1073;3,06511;1,13095;0,873426;0,87171;7,00289;322555;-0,089828;-0,089645;0
267129;56,1073;3,06511;1,2444;0,881602;0,879891;7,11821;322556;-0,090697;-0,090515;0
267130;56,1073;3,06511;1,35861;0,889771;0,888065;7,23429;322557;-0,091567;-0,091385;0
267131;56,1073;3,06511;1,47355;0,897932;0,896226;7,35112;322558;-0,092437;-0,092255;0
267132;56,1073;3,06511;1,58922;0,906085;0,90438;7,46869;322559;-0,093307;-0,093124;0
